Time,DataCount (samples),Interval (s),ActivityCode (0=sedentary, 1= standing, 2=stepping),CumulativeStepCount
#1899-12-30#,0,0,0,0,0,0
#2000-01-01 11:04:51#,0,2230.5,0,0,0.7744792,0
#2000-01-01 11:42:01#,22305,2.8,1,0,1.09E-03,0
#2000-01-01 11:42:04#,22333,1.1,2,1,0.00115,69
#2000-01-01 11:42:05#,22344,2.7,2,2,1.77E-03,161
#2000-01-01 11:42:08#,22371,4.3,2,3,2.39E-03,117
#2000-01-01 11:42:12#,22414,7.7,1,3,2.99E-03,0
#2000-01-01 11:42:20#,22491,1.2,2,4,1.19E-03,128
#2000-01-01 11:42:21#,22503,23.9,1,4,9.29E-03,0
#2000-01-01 11:42:45#,22742,1.3,2,5,1.23E-03,132
#2000-01-01 11:42:46#,22755,1.1,2,6,0.00115,142
#2000-01-01 11:42:48#,22766,12,1,6,4.67E-03,0
#2000-01-01 11:43:00#,22886,3.7,2,7,2.16E-03,55
#2000-01-01 11:43:01#,22923,7.4,1,7,2.88E-03,0
#2000-01-01 11:43:11#,22997,1.3,2,8,1.23E-03,79
#2000-01-01 11:43:12#,23010,1.2,2,9,1.19E-03,197
#2000-01-01 11:43:13#,23022,1.1,2,10,0.00115,220
#2000-01-01 11:43:14#,23033,1.2,2,11,1.19E-03,234
#2000-01-01 11:43:15#,23045,1.1,2,12,0.00115,201
#2000-01-01 11:43:01#,23056,1,2,13,1.11E-03,196
#2000-01-01 11:43:18#,23066,1.1,2,14,0.00115,166
#2000-01-01 11:43:19#,23077,1.1,2,15,0.00115,195
#2000-01-01 11:43:20#,23088,1.1,2,16,0.00115,180
#2000-01-01 11:43:21#,23099,1.1,2,17,0.00115,190
#2000-01-01 11:43:22#,23110,1.1,2,18,0.00115,203
#2000-01-01 11:43:23#,23121,1,2,19,1.11E-03,212
#2000-01-01 11:43:24#,23131,1.1,2,20,0.00115,185
#2000-01-01 11:43:25#,23142,1.2,2,21,1.19E-03,188
